"Etablissement","Code_etablissement","Code_commune","Secteur","Effectif","Taux_reussite","Filiere"
"LYCEE SAINT JOSEPH","0211089V","21231","PR",104,99,"S"
"LYCEE ANNA JUDIC (GENERAL ET TECHNO.)","0210047M","21603","PU",55,89,"S"
"LYCEE ROMAIN ROLLAND (GENERAL ET TECHNO.)","0580008U","58079","PU",45,80,"S"
"LYCEE PIERRE GILLES DE GENNES (GENERAL ET TECHNO.)","0580014A","58086","PU",67,88,"S"
"LYCEE MAURICE GENEVOIX (GENERAL ET TECHNO.)","0580761M","58095","PU",50,90,"S"
"LYCEE ALAIN COLAS","0580753D","58194","PU",102,88,"S"
"LYCEE JULES RENARD","0580031U","58194","PU",136,93,"S"
"LYCEE NOTRE DAME (GENERAL ET TECHNO.)","0580071M","58194","PR",36,97,"S"
"LYCEE RAOUL FOLLEREAU","0580032V","58194","PU",39,90,"S"
"LYCEE BONAPARTE (GENERAL ET TECHNO.)","0710001R","71014","PU",82,99,"S"
"LYCEE EMILAND GAUTHEY (GENERAL ET TECHNO.)","0711729U","71076","PU",54,87,"S"
"LYCEE HILAIRE DE CHARDONNET (GENERAL ET TECHNO.)","0711422K","71076","PU",73,95,"S"
"LYCEE MATHIAS (GENERAL ET TECHNO.)","0710010A","71076","PU",64,84,"S"
"LYCEE NICEPHORE NIEPCE","0710012C","71076","PU",86,92,"S"
"LYCEE PONTUS DE TYARD","0710011B","71076","PU",150,100,"S"
"LYCEE SAINT CHARLES (GENERAL ET TECHNO.)","0711896A","71076","PR",26,69,"S"
"LYCEE JULIEN WITTMER (GENERAL ET TECHNO.)","0710018J","71106","PU",107,97,"S"
"LYCEE LA PRAT'S","0710023P","71137","PU",52,90,"S"
"LYCEE CAMILLE CLAUDEL","0711137A","71176","PU",54,91,"S"
"LYCEE LÉON BLUM (GENERAL ET TECHNO.)","0710026T","71153","PU",94,90,"S"
"LYCEE HENRI VINCENOT (GENERAL ET TECHNO.)","0710042K","71263","PU",64,75,"S"
"LYCEE FREDERIC OZANAM (GENERAL ET TECHNO.)","0711249X","71270","PR",59,98,"S"
"LYCEE LAMARTINE","0710045N","71270","PU",151,95,"S"
"LYCEE RENE CASSIN (GENERAL ET TECHNO.)","0710048S","71270","PU",104,93,"S"
"LYCEE HENRI PARRIAT","0710054Y","71306","PU",49,96,"S"
"LYCEE JEANNE D'ARC","0710112L","71342","PR",33,97,"S"
"LYCEE GABRIEL VOISIN","0710071S","71543","PU",63,94,"S"
"LYCEE JACQUES AMYOT","0890003V","89024","PU",155,92,"S"
"LYCEE JEAN-JOSEPH FOURIER (GENERAL ET TECHNO.)","0890005X","89024","PU",77,66,"S"
"LYCEE SAINT JOSEPH (GENERAL ET TECHNO.)","0890070T","89024","PR",35,89,"S"
"LYCEE DU PARC DES CHAUMES (GENERAL ET TECHNO.)","0890008A","89025","PU",36,97,"S"
"LYCEE JEANNE D'ARC (GENERAL ET TECHNO.)","0890064L","89025","PR",18,89,"S"
"LYCEE LOUIS DAVIER (GENERAL ET TECHNO.)","0891199V","89206","PU",102,91,"S"
"LYCEE CATHERINE ET RAYMOND JANOT","0891200W","89387","PU",214,86,"S"
"LYCEE SAINT ETIENNE (GENERAL ET TECHNO.)","0890067P","89387","PR",32,100,"S"
"LYCEE CHEVALIER D'EON (GENERAL ET TECHNO.)","0890032B","89418","PU",89,83,"S"
"LYCEE PIERRE LAROUSSE","0891168L","89419","PU",51,86,"S"
